"NOME","TTL","TIPO","VALORE"
"tutelatruffe.it.",900,"MX","10 mail.register.it."
"authsmtp.tutelatruffe.it.",900,"CNAME","authsmtp.register.it."
"pop.tutelatruffe.it.",900,"CNAME","mail.register.it."
"pec.tutelatruffe.it.",900,"MX","10 server.pec-email.com."
"tutelatruffe.it.",900,"TXT",""v=spf1 include:spf.webapps.net ~all""
"autoconfig.tutelatruffe.it.",900,"CNAME","tb-it.securemail.pro."
"_autodiscover._tcp.tutelatruffe.it.",900,"SRV","10 10 443 ms-it.securemail.pro."
"key-dyu8enthup._domainkey.tutelatruffe.it.",900,"TXT",""v=DKIM1; p=MIIBIjANBgkqhkiG9w0BAQEFAAOCAQ8AMIIBCgKCAQEAvXg/oblXabuijpdhecWlhu+mWLeFavzieP2aYIFBwwXet7PmJjmQNEU5zd97me2c8g1jrPwkXN33H3EWR2++qplVzopbfKQoPIHF7ktSMEb6gHm/wBitSGJ/AQUiTdqVr4W/AgGUHvi7uc2+EZ85iTW5U9aUP+9/jhGaqnY+SaZy+FxJq6ysg7jyBTDGEB2Lsb3Rj4m6pwRndT8LjCNBx6QIpDMKVswM8ceXSied/v6NndQd2gRnnGGDvq4zHWkfEZ/w4fNTssj5PJckgdVFXUHCK2Xzl/wotrYVTFxEjVstDUJSHhYmw8QxzpXsfl1NloTIfRKgYuYkoAwpkt8zBQIDAQAB""
"ssh.tutelatruffe.it.",900,"CNAME","tutelk.ssh.tb-hosting.com."
"_dmarc.tutelatruffe.it.",900,"TXT",""v=DMARC1; p=quarantine; rua=mailto:denunce@marcellostanca.it; ruf=mailto:denunce@tutelatruffe.it; aspf=r; pct=100; ri=86400""
"www.tutelatruffe.it.",900,"CNAME","onwindows-it.setupdns.net."
"tutelatruffe.it.",900,"A","81.88.48.113"
